HID,HOTEL,PRICE_RUPEES,NUMBER_OF_REVIEWS,Lat,Lng
HID1,The St. Regis Mumbai,22890,2918,18.993652,72.825218
HID2,"The Sahil Hotel, Mumbai",5496,937,18.9687239,72.8236099
HID3,The Westin Mumbai Garden City,11445,3664,19.172425,72.860443
HID4,Goldfinch Hotel Mumbai,5825,1674,19.1197111,72.87013114
HID5,The Lalit Mumbai,14742,5895,19.1053238,72.8758792
HID6,Sahara Star Hotel,14160,5662,19.095545,72.853046
HID7,"Ginger Mumbai, Goregaon",6158,133,19.1551485,72.8678551
HID8,"Taj Lands End, Mumbai",18880,6399,19.055229,72.830829
HID9,The Fern - Goregaon,18519,1700,19.162224,72.856988
HID10,The Leela Mumbai,15340,5311,19.1098758,72.8519895
HID11,JW Marriott Mumbai Juhu,18530,4605,19.101893,72.826218
HID12,Bloom Boutique - Bandra,11652,116,19.06678,72.829999
HID13,Ginger Mumbai Andheri East,11209,640,19.128468,72.868935
HID14,Novotel Mumbai Juhu Beach,18880,3519,19.1185258,72.88547078
HID15,"Taj Mahal Tower, Mumbai",24703,1496,18.921499,72.83329
HID16,Mirage Hotel,5299,726,19.10886617,72.87733734
HID17,The Shalimar Hotel,5523,894,18.9639998,72.8060284
HID18,Juhu Residency Boutique Hotel,2800,,19.101243,72.827408
HID19,Rajdhani Resort Lonavala,1679,30,18.7536,73.4072
HID20, Fariyas Resort Lonavala,10891,2487,18.76228196,73.39254108
HID21,Rumourss Sky Villa & Resort,6107,479,18.7302475,73.4020883
HID22,DATA Resort by Della Adventure,14794,796,18.8302,73.4272
HID23, The Lagoona Resort,6740,1171,18.7719,73.4058
HID24, 7 Apple Resort,6250,379,18.7743,73.3953
HID25,Della Adventure Resorts,10573,3770,18.78086621,73.39017154
HID26,Rhythm Lonavala,9312,2186,18.75762445,73.41201782
HID27,The Machan,19116,1634,18.6696646,73.40760068
HID28,Hotel Grand Mehfil,4410,88,20.93554,77.7709
HID29,Gouri Inn,2281,29,20.9627,77.7827
HID30,Hotel Rangoli Pearl,3248,22,20.909362,77.751773
HID31,Hotel Radhey Inn,4153,9,20.9293,77.7601
HID32,Hotel Excel Executive,1960,9,20.93398,77.75764
HID33,Hotel Shripad Continental,1792,5,20.93629,77.76407
HID34,Hotel Adarsh,2398,4,20.9347,77.7548
HID35,Royal Inn,2202,3,20.90918513,77.75160674
HID36,"Four Points By Sheraton Hotel & Serviced Apartments, Pune",6426,2312,18.5629549,73.9222687
HID37, The Central Park Hotel,2713,2420,18.5273,73.8786
HID38,The Corinthians Resort & Club,7503,2637,18.46311335,73.91927928
HID39," Lemon Tree Premier, City Center, Pune",6833,911,18.529305,73.876175
HID40,Hyatt Pune,7000,3471,18.5542,73.9047
HID41,Royal Orchid Central Pune,4303,1605,18.546295,73.906478
HID42,Cocoon Hotel,4284,538,18.5092,73.9285
HID43,ibis Pune Viman Nagar,4703,1469,18.55994,73.91241
HID44,St Laurn Koregaon Park,6522,1074,18.536207,73.893974
HID45,. Hotel Aurora Towers,4212,290,18.5357,73.85226
HID46,Ramee Grand Hotel Pune,5544,550,18.5205076,73.84343012
HID47,O Hotel Pune,6440,1136,18.54,73.8877
HID48,The Orchid Hotel,5039,3163,18.570356,73.763003
HID49,Green Gate Resort,4800,117,18.4747,73.4701
HID50,Treebo Trend Luxe Suite,2638,17,18.53591706,73.8282533
HID51, Residency Club,4358,108,18.529504,73.88015201
HID52,Hotel Studio Estique,3808,298,18.52747828,73.87836144
HID53,Grape County Resort,8186,454,19.95995351,73.61410345
HID54, The Source at Sula,10410,1826,20.0058096,73.68847819
HID55,"Radisson Blu Hotel & Spa, Nashik",8400,615,19.95155081,73.7590092
HID56,Courtyard By Marriott Nashik,6540,912,19.99059677,73.78969199
HID57, ibis Nashik,3471,1723,19.99091959,73.73869713
HID58, Regenta Resort Soma Vine Village,5601,866,20.00765909,73.66232617
HID59,Hotel Shiva,838,5,20.04105712,73.80520159
HID60,Hotel Geetanjali,1786,8,18.99258337,73.11707281
HID61,Visava Amusement Park & Resort Panvel,5089,15,18.88043408,73.10451418
HID62,Harshawardhan Hotel,3097,14,21.402615,77.33296464
HID63,Amruta Homestay,1698,2,21.40326976,77.32940241
HID64,Tropicana Resort & Spa Alibaug,11800,1345,18.72443038,72.89221045
HID65,Grand Sarovar Portico,5375,15,18.40750409,76.53461067
HID66,Hotel Parth Executive,1740,8,18.41482254,76.56966051
HID67,Hotel UdayShree Palace,1020,3,18.40300005,76.55844707
HID68,Ananta Ecostays,2668,23,19.80194332,73.3944952
HID69,Wild Camp Resort,1993,112,19.80121287,73.40797982
HID70,Hotel Ashoka,2060,12,21.16470822,79.66363074
HID71,Tuli Suites,5711,15,21.08468753,80.01026436
HID72,"Veeksar The Fern, Kolhapur",5416,121,16.70803546,74.26608145
HID73,Sayaji Kolhapur,6104,949,16.70422983,74.25061895
HID74,Citrus Hotel Kolhapur,4932,482,16.70634558,74.24565121
HID76,Treebo Trend Balaji Residency,2066,57,16.69917836,74.22570617
HID77,Hotel Classic Midtown,2702,52,16.69540603,74.2191962
HID78,Le Meridien Nagpur,7420,1424,21.04309875,79.05521374
HID79,The Pride Hotel Nagpur,5598,1368,21.08718162,79.06463436
HID80,"Regenta Central Hotel & Convention Centre, Nagpur India",7076,292,21.13986196,79.119802
HID81,Westend Hotel,2060,748,18.98256654,73.26747185
HID82,Dune Barr House - Verandah in the Forest,6778,564,18.98235798,73.26342652
HID83,Adamo The Resort,6160,382,18.98510438,73.26979541
HID84,"The Waterfront Shaw, Lavasa",6496,1215,18.40731095,73.50602455
HID85,Ekaant The Retreat,4815,308,18.39601893,73.50803991
HID86,Hotel Celebration Lavasa,4767,1044,18.41045408,73.50911251
HID87,Kohinoor Samudra Beach Resort,4043,169,16.96558038,73.29757435
HID88,Samarth ATC,1567,35,17.05628822,73.28980734
HID89,Mango Valley Resorts Ganpatipule,6719,25,17.10291508,73.29805328
HID90,Mount View Heritage Hotel,6384,264,17.92914005,73.80306739
HID91,Hotel Valley Nest,3224,268,17.91953133,73.78384864
