PID,POIs,LATITUDE,LONGITUDE,IN-TIME1,IN-TIME2,OUT-TIME1,OUT-TIME2
POI1,Kanheri Caves,19.20606365,72.90741903,10:00,18:30,17:00,21:15
POI2,Gateway Of India Mumbai,18.92229871,72.83498689,9:30,-,17:00,-
POI3,Chhatrapati Shivaji Maharaj Terminus,18.94002725,72.83569426,9:00,-,17:00,-
POI4,Taj Mahal Palace,18.92195191,72.8337359,9:00,-,16:30,-
POI5,Elephanta Caves,18.96351988,72.93194774,9:00,19:00,17:00,22:00
POI6,Haji Ali Dargah,18.98275987,72.80898589,10:00,-,18:00,-
POI7, Siddhivinayak Temple,19.01714997,72.83075465,6:30,12:30,12:00,20:30
POI8,Essel World,19.23167768,72.80540102,12:00,-,22:30,-
POI9,Sanjay Gandhi National Park,19.22910296,72.91907962,9:00,19:00,17:00,22:00
POI10, Aga Khan Palace,18.5526671,73.90198201,8:00,-,20:00,-
POI11,Shaniwar Wada,18.51967833,73.85583248,6:00,18:00,17:00,20:00
POI12,Sinhagad Fort,18.36641954,73.75653216,5:00,-,21:00,-
POI13,Shivaji Bridge,19.99476941,73.79827823,10:30,-,17:00,-
POI14,Mahatma Phule Museum,18.52391624,73.84481235,4:30,17:45,11:30,21:30
POI15,Bhaja Caves,18.7285453,73.48208214,4:30,-,21:15,-
POI16,Karla Caves,18.78357075,73.47103268,6:00,-,20:00,-
POI17,Bhushi Dam,18.72144048,73.39817341,6:00,-,18:00,-
POI18,Tikona Fort,18.63199429,73.51314831,0:00,-,23:59,-
POI19,Sula Vineyard,20.00712492,73.68866093,5:00,-,20:00,-
POI20,Dudhsagar falls,15.31458236,74.31456479,9:00,-,17:00,-
POI21,Shri Ambadevi Temple,20.92750826,77.74915148,8:00,-,17:00,-
POI22,MelGhat Tiger Reserve,21.40637121,77.14777601,7:00,-,21:00,-
POI23,Shree Ganesh Mandir Tekdi,21.1483033,79.08754122,10:00,-,17:00,-
POI24,Swaminarayan Temple,21.14043569,79.14984626,8:30,-,17:30,-
POI25,Nagpur Ramtek Temple,21.39904037,79.33298921,10:00,-,17:00,-
POI26,Panhala Fort,16.81453324,74.10525443,11:00,-,2:00,-
POI27,Karnala Bird Sanctuary,18.89125106,73.12246567,0:00,-,23:59,-
POI28,Adai Waterfalls,19.01381618,73.1368672,7:30,16:00,12:00,20:00
POI29,Khandeshwar Shiva Temple,19.01174285,73.10921415,0:00,-,23:59,-
POI30,Shivganga Waterpark and Resort,18.94114938,73.14906014,5:00,-,22:00,-
POI31,Pratapgad fort,17.93472889,73.57921229,10:00,-,18:00,-
POI32,Lingamala Falls,17.92296983,73.69304861,5:45,16:45,8:30,19:15
POI33,Venna Lake,17.93337641,73.66609813,8:00,-,22:30,-
POI34,Mapro Garden,17.9236009,73.7354552,11:00,-,18:00,-
POI35,Lord Mahabaleshwar Temple,17.967065,73.66881616,12:00,-,20:00,-
POI36,Mahabaleshwar Hill Station,17.93105513,73.64862469,17:30,-,23:00,-
POI37,Elephant's Head Point,17.94165405,73.63361516,9:00,-,17:00,-
POI38,Sri Sai Baba Samadhi Mandir,19.76663148,74.47560525,7:00,-,18:00,-
POI39,Sai Teerth Theme Park Shirdi,19.77441079,74.47712967,10:00,-,23:00,-
